place,movie_title,rating,year,imdb_id,star_cast
1,The Shawshank Redemption,9.235644441481037,1994,111161,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.155929990976578,1972,68646,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.991204033773323,2008,468569,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather Part II,8.983891930695316,1974,71562,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.95276980577397,1957,50083,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.939761166861613,1993,108052,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.931815960320119,2003,167260,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.846720563921739,1994,110912,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.810600961126392,2001,120737,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," The Good, the Bad and the Ugly",8.78936898200647,1966,60196,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.766832283317768,1994,109830,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Fight Club,8.748011611324992,1999,137523,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,The Lord of the Rings: The Two Towers,8.736197945777935,2002,167261,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
14,Inception,8.732716534022089,2010,1375666,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
15,Star Wars: Episode V - The Empire Strikes Back,8.698588954809006,1980,80684,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,The Matrix,8.669188864506111,1999,133093,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,Goodfellas,8.652909360827069,1990,99685,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,One Flew Over the Cuckoo's Nest,8.63819364390633,1975,73486,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Se7en,8.604521312766455,1995,114369,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Seven Samurai,8.597909829216759,1954,47478,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21,It's a Wonderful Life,8.597497175297779,1946,38650,"Frank Capra (dir.), James Stewart, Donna Reed"
22,The Silence of the Lambs,8.588295803143506,1991,102926,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Saving Private Ryan,8.579491551915337,1998,120815,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
